Trial_Id,Acronym,Sponsor,Hospital,Ciudad
1019,ACROPOLI,Solti Breast Cancer Research Group,Hospital Universitari de Sant Joan de Reus,Reus
0,TROPION-Lung05,Astrazeneca,Hospital Universitario Regional de Malaga,Málaga
172,XL184-021,Exelixis,Hospital Universitari Son Espases,Palma
1032,CDKY709A12101C,Novartis Pharmaceuticals,Hospital Universitari Vall D'Hebron,Barcelona
465,MS200647_0005,"Emd Serono Research & Development Institute, Inc.",Hospital Universitari Vall D'Hebron,Barcelona
865,TROPION-Lung05,Astrazeneca,Hospital Universitario Puerta de Hierro Majadahonda,Majadahonda
934,TROPION-LUNG01,Astrazeneca,Complexo Hospitalario Universitario de Ourense,Ourense
886,ALKALINE,Eortc,Hospital Universitario Ramon Y Cajal,Madrid
172,XL184-021,Exelixis,Hospital Universitario de Canarias,San Cristóbal de La Laguna
0,GO42501,Hoffmann-La Roche,Hospital de Sabadell - Parc Taulí,Sabadell
1574,GCT1046-04,Genmab,Hospital Universitario Fundacion Jimenez Diaz,Madrid
1019,ACROPOLI,Solti Breast Cancer Research Group,ICO (Institut Catala D'Oncologia) - Hospital Germans Trias i Pujol,Badalona
172,XL184-021,Exelixis,Hospital Universitario Regional de Malaga,Málaga
793,CONTACT-01,Hoffmann-La Roche,Hospital Universitari Vall D'Hebron,Barcelona
172,XL184-021,Exelixis,Hospital Universitario Central de Asturias,Oviedo
345,TACTI-002,Immutep S.A.S.,Hospital de Sabadell - Parc Taulí,Sabadell
1867,PM14-A-002-20,Pharmamar,Hospital Universitario Virgen del Rocio,Sevilla
1845,CodeBreak-201,Amgen,Hospital General Universitario Gregorio Marañon,Madrid
92,GO30103,,Hospital del Mar,Barcelona
0,PAPILLON,Janssen,Hospital Universitario Ramon Y Cajal,Madrid
0,TAPISTRY,Hoffmann-La Roche,Hospital Universitari Vall D'Hebron,Barcelona
532,MK-7902-008/E7080-G000-316/LEAP-008,Merck Sharp & Dohme Corp.,Hospital Universitari Vall D'Hebron,Barcelona
971,TROPION-Lung02,Astrazeneca,Hospital Universitari Vall D'Hebron,Barcelona
945,1948-CL-0101,Astellas,Hospital Universitario Hm Sanchinarro,Madrid
172,XL184-021,Exelixis,Hospital de Sabadell - Parc Taulí,Sabadell
98,AMBER,"Tesaro, Inc.",Hospital Clinico Universitario de Valencia,València
172,XL184-021,Exelixis,Hospital Universitario Central de Asturias,Oviedo
172,XL184-021,Exelixis,Clinica Universidad de Navarra,Pamplona
908,ZEAL-1L,Glaxosmithkline,Hospital Clinico Universitario Lozano Blesa,Zaragoza
172,XL184-021,Exelixis,Hospital Universitario 12 de Octubre,Madrid
0,BP40657,Hoffmann-La Roche,Hospital Universitario La Paz,Madrid
945,1948-CL-0101,Astellas,Clinica Universidad de Navarra,Madrid
0,PAPILLON,Janssen,Hospital Universitario de Burgos - Complejo Asistencial Univer. de Burgos,Burgos
1877,DF6002-001,Dragonfly Therapeutics,Clinica Universidad de Navarra,Madrid
908,ZEAL-1L,Glaxosmithkline,Complexo Hospitalario Universitario A Coruña,A Coruña
0,NeoADAURA,Astrazeneca,Hospital Universitario Clinico San Carlos,Madrid
908,ZEAL-1L,Glaxosmithkline,Hospital Clinic de Barcelona,Barcelona
0,SAVANNAH,Astrazeneca,Hospital Universitario Y Politecnico La Fe,València
172,XL184-021,Exelixis,Hospital Clinic de Barcelona,Barcelona
1107,LIBRETTO-432,"Loxo Oncology, Inc.",Hospital General Universitario de Albacete,Albacete
811,D9950C00001,Astrazeneca,Hospital Universitario 12 de Octubre,Madrid
916,Neo-DIANA,Grupo Español De Cáncer De Pulmón,Hospital Universitario Virgen del Rocio,Sevilla
1877,DF6002-001,Dragonfly Therapeutics,Clinica Universidad de Navarra,Pamplona
886,ALKALINE,Eortc,Hospital General Universitario Gregorio Marañon,Madrid
499,GCT1046-01,Genmab,Hospital Universitario Fundacion Jimenez Diaz,Madrid
873,KEYLYNK-013,Merck Sharp & Dohme Corp.,ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals,L' Hospitalet de Llobregat
982,DESTINY-LUNG02,Astrazeneca,Hospital Universitari Vall D'Hebron,Barcelona
754,CC-90011-ST-002,Celgene,Clinica Universidad de Navarra,Madrid
1536,BIMES,Grupo Español De Cáncer De Pulmón,Hospital General Universitario de Alicante,Alicante
945,1948-CL-0101,Astellas,Hospital Clinico Universitario de Valencia,València
262,ALERT-lung,European Thoracic Oncology Platform,Hospital General Universitario de Alicante,Alicante
628,NP41300,Hoffmann-La Roche,Clinica Universidad de Navarra,Pamplona
345,TACTI-002,Immutep S.A.S.,ICO (Institut Catala D'Oncologia) - Hospital Germans Trias i Pujol,Badalona
166,PROPEL,Nektar Therapeutics,Hospital de La Santa Creu i Sant Pau,Barcelona
511,INSIGHT 2,"Emd Serono Research & Development Institute, Inc.",Hospital Universitario Regional de Malaga,Málaga
0,SAVANNAH,Astrazeneca,Hospital Universitario Regional de Malaga,Málaga
0,SKYSCRAPER-06,Hoffmann-La Roche,Complejo Hospitalario Universitario Insular de Gran Canaria,Las Palmas de Gran Canaria
125,CLXH254X2102,Novartis Pharmaceuticals,Hospital Clinic de Barcelona,Barcelona
1107,LIBRETTO-432,"Loxo Oncology, Inc.",Complexo Hospitalario Universitario de Santiago,Santiago de Compostela
53,NAVIGATE,Bayer,Hospital Universitario Fundacion Jimenez Diaz,Madrid
793,CONTACT-01,Hoffmann-La Roche,Hospital Universitari Vall D'Hebron,Barcelona
437,AEGEAN,Astrazeneca,Hospital Universitario Central de Asturias,Oviedo
302,D7980C00001,Medimmune Llc,Clinica Universidad de Navarra,Pamplona
842,TAPISTRY,Hoffmann-La Roche,Hospital Universitario La Paz,Madrid
497,PHAROS,Pfizer,Hospital General Universitario Gregorio Marañon,Madrid
0,PACIFIC-4,Astrazeneca,Hospital Universitario Regional de Malaga,Málaga
1108,TOTEM,Instituto Oncológico Dr Rosell,Hospital Universitario de La Princesa,Madrid
1086,MYCure,Peptomyc S.L.,Hospital Universitario Hm Sanchinarro,Madrid
755,LUPER,Medsir,Hospital Universitario Fundacion Jimenez Diaz,Madrid
1010,RELATIVITY,Bristol-Myers Squibb,Hospital Universitario La Paz,Madrid
945,1948-CL-0101,Astellas,Clinica Universidad de Navarra,Madrid
348,IOV-COM-202,"Iovance Biotherapeutics, Inc.",Hospital Universitario 12 de Octubre,Madrid
0,CHRYSALIS,Janssen,Hospital Universitari Vall D'Hebron,Barcelona
875,MERMAID-2,Astrazeneca,Clinica Universidad de Navarra,Pamplona
1010,RELATIVITY,Bristol-Myers Squibb,Hospital Universitario Virgen del Rocio,Sevilla
169,BGB-290-103,Beigene,ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals,L' Hospitalet de Llobregat
583,20201,Bayer,ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals,L' Hospitalet de Llobregat
227,Morpheus Lung,Hoffmann-La Roche,Hospital Universitario Hm Sanchinarro,Madrid
0,DESTINY-LUNG02,Astrazeneca,Clinica Universidad de Navarra,Pamplona
1025,HUDSON,Astrazeneca,Hospital General Universitario Gregorio Marañon,Madrid
0,CR108656,Janssen,Instituto Oncológico Rosell,Barcelona
0,ORCHARD,Astrazeneca,Hospital Universitario 12 de Octubre,Madrid
166,PROPEL,Nektar Therapeutics,Complejo Hospitalario Universitario Insular de Gran Canaria,Las Palmas de Gran Canaria
0,ALINA,Hoffmann-La Roche,Hospital de La Santa Creu i Sant Pau,Barcelona
1514,MK-3475-A86,Merck Sharp & Dohme Corp.,Hospital Universitario Juan Ramón Jiménez,Huelva
0,SAVANNAH,Astrazeneca,Hospital Universitario Regional de Malaga,Málaga
639,CARMEN-LC03,Sanofi,ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals,L' Hospitalet de Llobregat
713,SKYSCRAPER-02,Hoffmann-La Roche,Hospital Clinico Universitario de Valencia,València
0,AcceleRET-Lung,Hoffmann-La Roche,Hospital Universitario Regional de Malaga,Málaga
92,GO30103,,Hospital del Mar,Barcelona
934,TROPION-LUNG01,Astrazeneca,Consorcio Hospital General Universitario de Valencia,València
0,MARIPOSA,Janssen,Clinica Universidad de Navarra,Pamplona
174,SPARTA,Apollomics Inc.,Hospital General Universitario Gregorio Marañon,Madrid
58,CHRYSALIS,Janssen,Instituto Oncológico Rosell,Barcelona
172,XL184-021,Exelixis,Hospital Universitario Central de Asturias,Oviedo
754,CC-90011-ST-002,Celgene,Hospital Universitario Puerta de Hierro Majadahonda,Majadahonda
300,Replay,Grupo Español De Cáncer De Pulmón,Hospital Son Llatzer,Palma
0,TROPION-Lung05,Astrazeneca,Complexo Hospitalario Universitario de Santiago,Santiago de Compostela
908,ZEAL-1L,Glaxosmithkline,Clinica Universidad de Navarra,Madrid
267,ALINA,Hoffmann-La Roche,Hospital Universitario Donostia,Donostia-San Sebastián
0,PAPILLON,Janssen,Hospital de La Santa Creu i Sant Pau,Barcelona
1867,PM14-A-002-20,Pharmamar,Hospital Universitari Vall D'Hebron,Barcelona
513,ORCHARD,Astrazeneca,Complexo Hospitalario Universitario A Coruña,A Coruña
1018,AdvanTIG-302,Beigene,Hospital Universitario Puerta de Hierro Majadahonda,Majadahonda
1107,LIBRETTO-432,"Loxo Oncology, Inc.",Hospital Clinic de Barcelona,Barcelona
172,XL184-021,Exelixis,Hospital de Sabadell - Parc Taulí,Sabadell
1799,IGNYTE,Replimune Inc.,Hospital Universitario Virgen del Rocio,Sevilla
494,SAPPHIRE,Mirati Therapeutics Inc.,Hospital Universitari Vall D'Hebron,Barcelona
532,MK-7902-008/E7080-G000-316/LEAP-008,Merck Sharp & Dohme Corp.,Hospital de Mataro,Mataró
1107,LIBRETTO-432,"Loxo Oncology, Inc.",Complexo Hospitalario Universitario de Santiago,Santiago de Compostela
847,SKYSCRAPER-06,Hoffmann-La Roche,Complexo Hospitalario Universitario de Lugo,Lugo
765,CARMEN-LC04,Sanofi,Hospital Universitario La Paz,Madrid
409,BEAT-meso,European Thoracic Oncology Platform,Hospital Universitario Virgen del Rocio,Sevilla
1865,ACT16849,Sanofi,Hospital Universitario Ramon Y Cajal,Madrid
671,LIBRETTO-431,"Loxo Oncology, Inc.",Hospital Universitario 12 de Octubre,Madrid
1049,BT8009-100,Bicycle Tx Limited,Hospital Clinic de Barcelona,Barcelona
685,AcceleRET-Lung,Hoffmann-La Roche,Hospital Universitario Puerta de Hierro Majadahonda,Majadahonda
272,1336-0011,Boehringer Ingelheim,Hospital Universitari Vall D'Hebron,Barcelona
210,GO39733,"Genentech, Inc.",Clinica Universidad de Navarra,Pamplona
92,GO30103,,Clinica Universidad de Navarra,Pamplona
1108,TOTEM,Instituto Oncológico Dr Rosell,Hospital Universitario Regional de Malaga,Málaga
0,SKYSCRAPER-01,Hoffmann-La Roche,Hospital General Universitario de Alicante,Alicante
1107,LIBRETTO-432,"Loxo Oncology, Inc.",ICO (Institut Catala D'Oncologia) - Hospital Germans Trias i Pujol,Badalona
1118,RAMP-202,"Verastem, Inc.",Hospital Universitario Virgen Macarena,Sevilla
184,CK-301-101,"Checkpoint Therapeutics, Inc.",Hospital Universitario de Canarias,San Cristóbal de La Laguna
0,TROPION-LUNG01,Astrazeneca,Hospital Clinico Universitario Lozano Blesa,Zaragoza
0,B-FAST,Hoffmann-La Roche,Hospital Clinico Universitario de Valencia,València
160,CA022-001,Bristol-Myers Squibb,Clinica Universidad de Navarra,Pamplona
1010,RELATIVITY,Bristol-Myers Squibb,Hospital Universitario 12 de Octubre,Madrid
252,CB103-C-101,Cellestia Biotech Ag,Hospital Universitario 12 de Octubre,Madrid
286,GECP17/04_THOMAS,Grupo Español De Cáncer De Pulmón,ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals,L' Hospitalet de Llobregat
446,MAGELLAN,Astrazeneca,Hospital Universitari Vall D'Hebron,Barcelona
154,TRIDENT-1,"Turning Point Therapeutics, Inc.",Hospital Universitario 12 de Octubre,Madrid
824,PAPILLON,Janssen,ICO (Institut Catala D'Oncologia) - Hospital Germans Trias i Pujol,Badalona
98,AMBER,"Tesaro, Inc.",ICO (Institut Catala D'Oncologia) - Hospital Josep Trueta,Girona
76,GARNET,"Tesaro, Inc.",Clinica Universidad de Navarra,Madrid
0,TROPION-Lung05,Astrazeneca,Hospital Universitari Vall D'Hebron,Barcelona
0,D9950C00001,Astrazeneca,Hospital Universitari Vall D'Hebron,Barcelona
377,NP40435,Hoffmann-La Roche,Hospital Universitario Fundacion Jimenez Diaz,Madrid
811,D9950C00001,Astrazeneca,ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals,L' Hospitalet de Llobregat
945,1948-CL-0101,Astellas,Hospital Universitari Vall D'Hebron,Barcelona
0,MERMAID-1,Astrazeneca,Hospital de La Santa Creu i Sant Pau,Barcelona
685,AcceleRET-Lung,Hoffmann-La Roche,Hospital Universitario Ramon Y Cajal,Madrid
0,IMbrella A,Hoffmann-La Roche,Complexo Hospitalario Universitario de Lugo,Lugo
0,CHESS,Astrazeneca,Hospital Universitari Vall D'Hebron,Barcelona
1865,ACT16849,Sanofi,Hospital de Sabadell - Parc Taulí,Sabadell
257,AG270-C-001,Institut De Recherches Internationales Servier,Hospital Universitari Vall D'Hebron,Barcelona
92,GO30103,,ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals,L' Hospitalet de Llobregat
1017,APOLO,Grupo Español De Cáncer De Pulmón,Hospital Universitario Basurto,Bilbao
896,NeoADAURA,Astrazeneca,Hospital Clinic de Barcelona,Barcelona
793,CONTACT-01,Hoffmann-La Roche,ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals,L' Hospitalet de Llobregat
916,Neo-DIANA,Grupo Español De Cáncer De Pulmón,Hospital Clinico Universitario de Salamanca,Salamanca
1109,Sotorasib,Amgen,Hospital Clinico Universitario Lozano Blesa,Zaragoza
0,D9950C00001,Astrazeneca,Hospital Universitario 12 de Octubre,Madrid
569,ADP-0055-001,Adaptimmune,Clinica Universidad de Navarra,Madrid
377,NP40435,Hoffmann-La Roche,Clinica Universidad de Navarra,Pamplona
262,ALERT-lung,European Thoracic Oncology Platform,Hospital Universitario 12 de Octubre,Madrid
0,CONTACT-01,Hoffmann-La Roche,Hospital Universitario Y Politecnico La Fe,València
0,SAVANNAH,Astrazeneca,Hospital Clinico Universitario Lozano Blesa,Zaragoza
300,Replay,Grupo Español De Cáncer De Pulmón,Hospital de La Santa Creu i Sant Pau,Barcelona
92,GO30103,,Hospital Universitario Hm Sanchinarro,Madrid
0,SAVANNAH,Astrazeneca,Hospital Universitario La Paz,Madrid
0,STARTRK-2,Hoffmann-La Roche,Hospital Universitario Virgen del Rocio,Sevilla
467,CC-90011-SCLC-001,Celgene,ICO (Institut Catala D'Oncologia) - Hospital Germans Trias i Pujol,Badalona
793,CONTACT-01,Hoffmann-La Roche,ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals,L' Hospitalet de Llobregat
0,MAGELLAN,Astrazeneca,Hospital Universitario Virgen del Rocio,Sevilla
1019,ACROPOLI,Solti Breast Cancer Research Group,Hospital Clinico Universitario de Valencia,València
793,CONTACT-01,Hoffmann-La Roche,Hospital Universitario Virgen de Valme,Sevilla
184,CK-301-101,"Checkpoint Therapeutics, Inc.",Consorcio Hospital General Universitario de Valencia,València
0,TROPION-Lung02,Astrazeneca,Hospital Universitario Hm Sanchinarro,Madrid
1536,BIMES,Grupo Español De Cáncer De Pulmón,Hospital Universitari de Girona Dr. Josep Trueta,Girona
545,CTNO155B12101,Novartis Pharmaceuticals,Hospital Universitari Vall D'Hebron,Barcelona
0,TROPION-LUNG01,Astrazeneca,Hospital Universitario 12 de Octubre,Madrid
1436,SGNSTNV-001,Seagen Inc.,Hospital Universitari Vall D'Hebron,Barcelona
905,MK-3475-01B/KEYMAKER-U01B,Merck Sharp & Dohme Corp.,Hospital Universitario Quironsalud Madrid,Pozuelo de Alarcón
1531,MARIPOSA-2,Janssen,Hospital Universitario 12 de Octubre,Madrid
1035,GCT1042-01,Genmab,Hospital Universitari Vall D'Hebron,Barcelona
266,IMpower030,Hoffmann-La Roche,Hospital Clinico Universitario de Valencia,València
0,AcceleRET-Lung,Hoffmann-La Roche,Hospital Universitario Virgen del Rocio,Sevilla
304,M14-239,Abbvie,Instituto Oncológico Rosell,Barcelona
172,XL184-021,Exelixis,Hospital del Mar,Barcelona
842,TAPISTRY,Hoffmann-La Roche,Hospital Universitario La Paz,Madrid
353,rHuPH20,Bristol-Myers Squibb,Hospital Universitario Regional de Malaga,Málaga
184,CK-301-101,"Checkpoint Therapeutics, Inc.",Hospital Universitari Vall D'Hebron,Barcelona
499,GCT1046-01,Genmab,Hospital Universitario Hm Sanchinarro,Madrid
1108,TOTEM,Instituto Oncológico Dr Rosell,Hospital Universitario de La Princesa,Madrid
78,MK-4280-001,Merck Sharp & Dohme Corp.,Hospital Universitari Vall D'Hebron,Barcelona
824,PAPILLON,Janssen,Hospital Universitario Ramon Y Cajal,Madrid
172,XL184-021,Exelixis,Instituto Oncológico Rosell,Barcelona
865,TROPION-Lung05,Astrazeneca,Hospital Universitario Puerta de Hierro Majadahonda,Majadahonda
0,LAURA,Astrazeneca,Hospital Universitario Y Politecnico La Fe,València
916,Neo-DIANA,Grupo Español De Cáncer De Pulmón,Hospital Universitario Puerta de Hierro Majadahonda,Majadahonda
0,MAGELLAN,Astrazeneca,Hospital de La Santa Creu i Sant Pau,Barcelona
0,LAURA,Astrazeneca,Hospital Universitario Regional de Malaga,Málaga
1116,COMPEL,Astrazeneca,Hospital General Universitario de Alicante,Alicante
177,BGBC008,Bergenbio Asa,Hospital Universitario de Jaen,Jaén
494,SAPPHIRE,Mirati Therapeutics Inc.,Complexo Hospitalario Universitario A Coruña,A Coruña
377,NP40435,Hoffmann-La Roche,Hospital Universitario Ramon Y Cajal,Madrid
0,TROPION-Lung02,Astrazeneca,Hospital Universitario Hm Sanchinarro,Madrid
499,GCT1046-01,Genmab,Hospital Universitario 12 de Octubre,Madrid
269,C2321001,Pfizer,Hospital Universitario Fundacion Jimenez Diaz,Madrid
820,CARMEN-LC05,Sanofi,Hospital Universitario 12 de Octubre,Madrid
0,ADRIATIC,Astrazeneca,Hospital Universitari Vall D'Hebron,Barcelona
905,MK-3475-01B/KEYMAKER-U01B,Merck Sharp & Dohme Corp.,Hospital Universitario Quironsalud Madrid,Pozuelo de Alarcón
0,SAVANNAH,Astrazeneca,Hospital Universitario La Paz,Madrid
0,CHRYSALIS,Janssen,Hospital Universitario Regional de Malaga,Málaga
0,ARROW,Hoffmann-La Roche,Hospital Universitario 12 de Octubre,Madrid
98,AMBER,"Tesaro, Inc.",ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals,L' Hospitalet de Llobregat
175,B-FAST,Hoffmann-La Roche,Hospital Universitario Puerta de Hierro Majadahonda,Majadahonda
92,GO30103,,Hospital del Mar,Barcelona
423,SAVANNAH,Astrazeneca,Hospital Universitario Regional de Malaga,Málaga
282,innovaTV 207,Seagen Inc.,ICO (Institut Catala D'Oncologia) - Hospital Germans Trias i Pujol,Badalona
583,20201,Bayer,Hospital Clinico Universitario de Valencia,València
172,XL184-021,Exelixis,ICO (Institut Catala D'Oncologia) - Hospital Josep Trueta,Girona
168,IMbrella A,Hoffmann-La Roche,Hospital Universitario Regional de Malaga,Málaga
172,XL184-021,Exelixis,Instituto Oncológico Rosell,Barcelona
296,LAURA,Astrazeneca,Hospital Universitario Donostia,Donostia-San Sebastián
947,KRYSTAL-7,Mirati Therapeutics Inc.,Hospital Universitario Fundacion Jimenez Diaz,Madrid
801,MARIPOSA,Janssen,Hospital Universitario Regional de Malaga,Málaga
0,IMbrella A,Hoffmann-La Roche,Clinica Universidad de Navarra,Pamplona
0,Morpheus Lung,Hoffmann-La Roche,Hospital Universitario Regional de Malaga,Málaga
0,TAPISTRY,Hoffmann-La Roche,Hospital Universitario La Paz,Madrid
934,TROPION-LUNG01,Astrazeneca,Hospital de La Santa Creu i Sant Pau,Barcelona
377,NP40435,Hoffmann-La Roche,Hospital Universitario Ramon Y Cajal,Madrid
304,M14-239,Abbvie,Hospital Universitario Y Politecnico La Fe,València
1107,LIBRETTO-432,"Loxo Oncology, Inc.",Hospital Universitario 12 de Octubre,Madrid
502,KEYNOTE-867,Merck Sharp & Dohme Corp.,Hospital Universitario Y Politecnico La Fe,València
394,205801,Glaxosmithkline,Clinica Universidad de Navarra,Pamplona
1107,LIBRETTO-432,"Loxo Oncology, Inc.",Hospital Universitario Regional de Malaga,Málaga
1574,GCT1046-04,Genmab,Clinica Universidad de Navarra,Pamplona
172,XL184-021,Exelixis,Hospital Universitario Clinico San Carlos,Madrid
394,205801,Glaxosmithkline,Clinica Universidad de Navarra,Madrid
172,XL184-021,Exelixis,Hospital Universitari Vall D'Hebron,Barcelona
591,RAGNAR,Janssen,Hospital Universitario Ramon Y Cajal,Madrid
811,D9950C00001,Astrazeneca,Clinica Universidad de Navarra,Madrid
255,MK-3475-671/KEYNOTE-671,Merck Sharp & Dohme Corp.,Hospital de La Santa Creu i Sant Pau,Barcelona
1536,BIMES,Grupo Español De Cáncer De Pulmón,Hospital Universitario Fundacion Jimenez Diaz,Madrid
172,XL184-021,Exelixis,Hospital del Mar,Barcelona
184,CK-301-101,"Checkpoint Therapeutics, Inc.",Clinica Universidad de Navarra,Pamplona
184,CK-301-101,"Checkpoint Therapeutics, Inc.",Hospital Universitario 12 de Octubre,Madrid
511,INSIGHT 2,"Emd Serono Research & Development Institute, Inc.",ICO (Institut Catala D'Oncologia) - Hospital Germans Trias i Pujol,Badalona
184,CK-301-101,"Checkpoint Therapeutics, Inc.",Hospital Universitario de Canarias,San Cristóbal de La Laguna
172,XL184-021,Exelixis,Instituto Oncológico Rosell,Barcelona
92,GO30103,,Hospital General Universitario de Alicante,Alicante
0,MARIPOSA-2,Janssen,Hospital Universitario Regional de Malaga,Málaga
168,IMbrella A,Hoffmann-La Roche,Hospital de La Santa Creu i Sant Pau,Barcelona
172,XL184-021,Exelixis,Hospital de La Santa Creu i Sant Pau,Barcelona
0,CR108656,Janssen,Hospital Universitario Hm Sanchinarro,Madrid
865,TROPION-Lung05,Astrazeneca,Hospital Universitari Vall D'Hebron,Barcelona
172,XL184-021,Exelixis,Hospital Universitari Son Espases,Palma
300,Replay,Grupo Español De Cáncer De Pulmón,Hospital Universitario Puerta de Hierro Majadahonda,Majadahonda
172,XL184-021,Exelixis,Hospital Universitario Clinico San Carlos,Madrid
125,CLXH254X2102,Novartis Pharmaceuticals,Hospital Universitari Vall D'Hebron,Barcelona
446,MAGELLAN,Astrazeneca,Hospital Universitario Virgen del Rocio,Sevilla
0,NP41300,Hoffmann-La Roche,Hospital Universitario Fundacion Jimenez Diaz,Madrid
227,Morpheus Lung,Hoffmann-La Roche,Hospital Universitario Fundacion Jimenez Diaz,Madrid
502,KEYNOTE-867,Merck Sharp & Dohme Corp.,Hospital Universitario Quironsalud Madrid,Pozuelo de Alarcón
0,SAVANNAH,Astrazeneca,Hospital Universitario Regional de Malaga,Málaga
76,GARNET,"Tesaro, Inc.",Complexo Hospitalario Universitario de Santiago,Santiago de Compostela
0,SKYSCRAPER-06,Hoffmann-La Roche,Hospital del Mar,Barcelona
172,XL184-021,Exelixis,Instituto Oncológico Rosell,Barcelona
0,TROPION-LUNG01,Astrazeneca,Hospital Universitario Y Politecnico La Fe,València
916,Neo-DIANA,Grupo Español De Cáncer De Pulmón,Fundacion Instituto Valenciano de Oncologia,València
949,CLXH254X2101,Novartis Pharmaceuticals,Hospital Clinico Universitario de Valencia,València
686,CUBIK,Grupo Español De Cáncer De Pulmón,Hospital Universitari Vall D'Hebron,Barcelona
865,TROPION-Lung05,Astrazeneca,Hospital Universitario Regional de Malaga,Málaga
0,DS8201-A-U106,Astrazeneca,Hospital General Universitario Gregorio Marañon,Madrid
915,NADIM-ADJUVANT,Grupo Español De Cáncer De Pulmón,Complejo Hospitalario de Navarra,Pamplona
884,POD1UM-203,Incyte Corporation,Hospital de Sabadell - Parc Taulí,Sabadell
184,CK-301-101,"Checkpoint Therapeutics, Inc.",Fundacion Instituto Valenciano de Oncologia,València
565,SGN228-001,Seagen Inc.,Hospital Universitari Vall D'Hebron,Barcelona
934,TROPION-LUNG01,Astrazeneca,Hospital Universitario Virgen de Valme,Sevilla
184,CK-301-101,"Checkpoint Therapeutics, Inc.",Hospital Universitario Virgen Macarena,Sevilla
671,LIBRETTO-431,"Loxo Oncology, Inc.",Clinica Universidad de Navarra,Madrid
0,CR108656,Janssen,Hospital Universitari Vall D'Hebron,Barcelona
172,XL184-021,Exelixis,Hospital del Mar,Barcelona
446,MAGELLAN,Astrazeneca,Hospital Universitario 12 de Octubre,Madrid
302,D7980C00001,Medimmune Llc,Clinica Universidad de Navarra,Madrid
252,CB103-C-101,Cellestia Biotech Ag,Hospital Universitari Vall D'Hebron,Barcelona
934,TROPION-LUNG01,Astrazeneca,Hospital Universitario Regional de Malaga,Málaga
0,TROPION-Lung05,Astrazeneca,Hospital Universitario Regional de Malaga,Málaga
0,PACIFIC-4,Astrazeneca,Hospital Universitario Virgen Macarena,Sevilla
168,IMbrella A,Hoffmann-La Roche,Complexo Hospitalario Universitario de Lugo,Lugo
698,ABC-lung,European Thoracic Oncology Platform,Hospital Universitario Basurto,Bilbao
172,XL184-021,Exelixis,ICO (Institut Catala D'Oncologia) - Hospital Josep Trueta,Girona
1107,LIBRETTO-432,"Loxo Oncology, Inc.",Hospital Universitario Reina Sofia,Córdoba
423,SAVANNAH,Astrazeneca,Hospital Universitario 12 de Octubre,Madrid
945,1948-CL-0101,Astellas,Clinica Universidad de Navarra,Pamplona
865,TROPION-Lung05,Astrazeneca,Hospital Universitari Vall D'Hebron,Barcelona
0,SAVANNAH,Astrazeneca,Hospital Universitario Donostia,Donostia-San Sebastián
1531,MARIPOSA-2,Janssen,Hospital Universitario Hm Sanchinarro,Madrid
227,Morpheus Lung,Hoffmann-La Roche,Hospital Universitario La Paz,Madrid
286,GECP17/04_THOMAS,Grupo Español De Cáncer De Pulmón,Hospital Universitario 12 de Octubre,Madrid
1035,GCT1042-01,Genmab,Hospital Universitario Fundacion Jimenez Diaz,Madrid
0,SCope-D1,Astrazeneca,Hospital Universitario 12 de Octubre,Madrid
0,CONTACT-01,Hoffmann-La Roche,Hospital Universitari Vall D'Hebron,Barcelona
1009,COSTAR Lung,Glaxosmithkline,Complexo Hospitalario Universitario A Coruña,A Coruña
166,PROPEL,Nektar Therapeutics,Hospital Universitario Clinico San Carlos,Madrid
945,1948-CL-0101,Astellas,Hospital Universitario Virgen Macarena,Sevilla
786,GO42144,"Genentech, Inc.",Hospital Clinico Universitario de Valencia,València
184,CK-301-101,"Checkpoint Therapeutics, Inc.",Hospital Universitario 12 de Octubre,Madrid
19,SUMMIT,"Puma Biotechnology, Inc.",Hospital Universitari Vall D'Hebron,Barcelona
971,TROPION-Lung02,Astrazeneca,Hospital Universitari Vall D'Hebron,Barcelona
639,CARMEN-LC03,Sanofi,Hospital Universitario Puerta de Hierro Majadahonda,Majadahonda
665,M19-611,Abbvie,Hospital Universitario Fundacion Jimenez Diaz,Madrid
946,VENEZO-LUNG,Instituto Oncológico Dr Rosell,Hospital Clinic de Barcelona,Barcelona
219,20160323,Amgen,Hospital Universitario 12 de Octubre,Madrid
532,MK-7902-008/E7080-G000-316/LEAP-008,Merck Sharp & Dohme Corp.,Hospital Universitario 12 de Octubre,Madrid
184,CK-301-101,"Checkpoint Therapeutics, Inc.",Hospital Universitari Vall D'Hebron,Barcelona
292,EATON,University Of Cologne,Hospital Universitari Vall D'Hebron,Barcelona
545,CTNO155B12101,Novartis Pharmaceuticals,ICO (Institut Catala D'Oncologia) - Hospital Duran I Reynals,L' Hospitalet de Llobregat
